id	title	creator	pubd	pages	bc
in.ernet.dli.2015.381931	ಹಬ್ಬ ಹರಿದಿನ ಮತ್ತು ವ್ರತಾಚರಣೆ	ಫಲ್ಗುಬಾಯ್ ಉಪಾಧ್ಯ	1998-01-01T00:00:00Z	88	99049990030238
in.ernet.dli.2015.381932	ಹರಿಶ್ಚಂದ್ರ ರಗಳೆಗಳ ಸಾಹಿತ್ಯ ಅಧ್ಯಯನ	ಕೆ. ಪಿ. ಮಹದೇವಯ್ಯ	1999-01-01T00:00:00Z	313	02040100030239
in.ernet.dli.2015.381933	ಕನಕದಾಸರು ಅವರ ಸಾಹಿತ್ಯ ಸಮೀಕ್ಷೆ	ಕೆ. ಅಪ್ಪಣ್ಣಾಚಾರ್ಯ	1997-01-01T00:00:00Z	146	02040100030240
in.ernet.dli.2015.381934	ಕರ್ನಾಟಕ ಭಾಷಾ ಭೂಷಣಂ ಮತ್ತು ಆಂಧ್ರ ಭಾಷಾ ಭೂಷಣಂ ಒಂದು ತೌಲನಿಕ ಅಧ್ಯಯನ	ಟಿ. ಶಂಭುಲಿಂಗಪ್ಪ	1999-01-01T00:00:00Z	314	02040100030241
in.ernet.dli.2015.381935	ಮಾಧ್ವಸಿದ್ಧಾಂತಸಾರ	ಎ. ಎಸ್. ಭೀಮಸೇನಾಚಾರ್ಯ	1995-01-01T00:00:00Z	231	02040100030242
in.ernet.dli.2015.381936	ಮಾಧ್ವ ಸಿದ್ದಾಂತಸಾರ ಭಾಗ ೨	ಭೀಮಸೇನಾಚಾರ್ಯ ಎ. ಎಸ್	1996-01-01T00:00:00Z	165	02040100030243
in.ernet.dli.2015.381937	ನಾಡಕವಿ ವೇಮನ	ಶಿವ ಗೌಡರು ಎನ್	1997-01-01T00:00:00Z	121	02990100030245
in.ernet.dli.2015.381938	ಪ್ರಾಯಶ್ಚಿತ್ತ ವಿಧಿ ಸಂಗ್ರಹ	ರಾಮಶೇಷ ದೀಕ್ಷಿತ್	1998-01-01T00:00:00Z	117	99049990030246
in.ernet.dli.2015.381939	ಪುರಂದರದಾಸೆರೆ ಪದೊಕುಳು	ವಸಂತ ಭಾರಧ್ವಾಜ ಕೆ	1999-01-01T00:00:00Z	80	02990100030247
in.ernet.dli.2015.381940	ನಾಡಕವಿ ವೇಮನ	ಶಿವಕವಿ ಎನ್. ಶಿವಗೌಡರು	1997-01-01T00:00:00Z	121	02990100002483
in.ernet.dli.2015.381941	Rigveda Parichaya Mandala - 2,3 &4	Surya Narayana	1998-01-01T00:00:00Z	120	02040100030248
in.ernet.dli.2015.381942	ಋಗ್ವೇದ ನಾಮ	ಜನಾರ್ದನ ಆರ್. ಎಸ್.	1995-01-01T00:00:00Z	141	02990100030249
in.ernet.dli.2015.381943	ಸಾಹಿತ್ಯ ಸಂಜೀವಿನಿ	ಎ. ರಾಮಾಚಾರ್	1997-01-01T00:00:00Z	230	99049990030250
in.ernet.dli.2015.381944	ಶಿವ ಗಮಸರೆ ಮತ್ತು ಪ್ರಾಯಶ್ಚಿತ್ತವಿಧಿ	ಮಲ್ಲಣ್ಣ ಎಂ	1997-01-01T00:00:00Z	248	02040100030251
